col_id,emp_id,emp_type,cost,schedule_pattern,in_final_mip,is_selected,reduced_cost
568,1,TypeB,38100,000000000000000000000000000000011111110000000000000000000000000001111111000000000011111110000000000000000111111110000000000000000000000000000000000001111111000000000000,0,0,2378478.01804382
569,2,TypeB,38100,000000000000000000000000000000011111110000000000000000000000000001111111000000000011111110000000000000000111111110000000000000000000000000000000000001111111000000000000,0,0,2378478.01804382
570,3,TypeC,31800,000000000111111000000000000000000000000000000000000000000000111111000000000000000000011110000000000011111100000000000000000011111000000000000000000000000000000000000000,1,0,2830928.1684089936
571,4,TypeC,31800,000000000111111000000000000000000000000000000000000000000000111111000000000000000000011110000000000011111100000000000000000011111000000000000000000000000000000000000000,1,0,2830928.1684089936
572,0,TypeA,52100,000000001111111111000000000000000000000000000000000000011111111000000000000011111111110000000000000000000000000000000000000000111111111100000000000111111111000000000000,0,0,1447062.981526563
573,1,TypeB,41400,000000111111110000000001111111000000000000000000000000000000000000000111111110000000000000000000000000000111111110000000000000000000001111111100000000000000000000000000,0,0,1069529.8582271226
574,2,TypeB,41400,000000111111110000000001111111000000000000000000000000000000000000000111111110000000000000000000000000000111111110000000000000000000001111111100000000000000000000000000,0,0,1069529.8582271226
575,3,TypeC,31700,000000001111110000000000000000000000000000000000000000000000111111000000000000001111110000000000000000000000000000000011100000000000011111000000000000000000000000000000,0,0,2415395.7897751667
576,4,TypeC,31700,000000001111110000000000000000000000000000000000000000000000111111000000000000001111110000000000000000000000000000000011100000000000011111000000000000000000000000000000,0,0,2415395.7897751667
577,0,TypeA,56900,111111111100000000000000000000000000000000000000000000000000111111111100000000000000000000000000000011111111110000000000000000000000011111111110000000000001111111111000,1,0,2296710.0243448373
578,1,TypeB,40100,000000000000000000000001111111000000000000000000000000000000000000011111111000000000000011111111000000000111111110000000000000000000000000000000000001111111000000000000,0,0,929667.105828438
579,2,TypeB,40100,000000000000000000000001111111000000000000000000000000000000000000011111111000000000000011111111000000000111111110000000000000000000000000000000000001111111000000000000,0,0,929667.105828438
580,3,TypeC,34100,000000000111111000000000000000000000000000000000000000000000111111000000000000001111110000000000000011111100000000000000000011111000000000000000000000000000000000000000,0,0,2540016.6260919385
