col_id,emp_id,emp_type,cost,schedule_pattern,in_final_mip,is_selected,usage_int,usage_rmp
1113,1,TypeB,41500,000000111111110000000000000000000011111100000000000000000000000000000000000000000000000000000000000000001111111100000000000000000111111110000000000111111100000000000000,1,0,0,12
1114,2,TypeB,41500,000000111111110000000000000000000011111100000000000000000000000000000000000000000000000000000000000000001111111100000000000000000111111110000000000111111100000000000000,1,0,0,10
1115,3,TypeC,36100,000000000001111110000000000000000011111100000000000000000000000000000000000000000000011110000000000000000011111100000000000000000000000000000000000000000000111111000000,1,0,0,20
1116,4,TypeC,36100,000000000001111110000000000000000011111100000000000000000000000000000000000000000000011110000000000000000011111100000000000000000000000000000000000000000000111111000000,1,0,0,15
1117,0,TypeA,56500,000000000111111111100000000000111111111100000000000000000000000111111111000000000000000000000000011111111110000000000000111111111100000000000000000000000000000000000000,0,0,0,3
1118,1,TypeB,38000,000000111111110000000000000000000000000000000000000000000000000111110000000000000000000000000000011111110000000000011111111000000000000000000000000000000000000001111111,1,0,0,16
1119,2,TypeB,38000,000000111111110000000000000000000000000000000000000000000000000111110000000000000000000000000000011111110000000000011111111000000000000000000000000000000000000001111111,1,0,0,8
1120,3,TypeC,30600,011111100000000000000000000000000011111100000000000000000000000111110000000000000000000000000000000000011111100000000000111100000000000000000000000000000000000000000000,1,0,0,13
1121,4,TypeC,30600,011111100000000000000000000000000011111100000000000000000000000111110000000000000000000000000000000000011111100000000000111100000000000000000000000000000000000000000000,1,0,0,18
1122,0,TypeA,54900,000000000000000000000011111111100000000000000000000000000000000111111111000000000000000000000000000000011111111110000000000000011111111110000000000000000000001111111111,0,0,0,1
1123,1,TypeB,41500,000000000000000111111110000000000011111100000000000000000000000000000000000000000000000000000000011111111000000000000000111111110000000000000000000000000000000001111111,1,0,0,18
1124,2,TypeB,41500,000000000000000111111110000000000011111100000000000000000000000000000000000000000000000000000000011111111000000000000000111111110000000000000000000000000000000001111111,1,1,1,27
1125,3,TypeC,30300,000000000000000000000011111100000000000000000111110000000000000111110000000000000000000000000000000000000000000000000000000000000000011111000000000000000000111111000000,0,0,0,0
1126,4,TypeC,30300,000000000000000000000011111100000000000000000111110000000000000111110000000000000000000000000000000000000000000000000000000000000000011111000000000000000000111111000000,0,0,0,0
1127,0,TypeA,53200,000000000000000000000000000000111111111100000000000000000000000111111111000000000000000000000000000000011111111110000000000000001111111111000000000000111111111100000000,1,0,0,27
1128,1,TypeB,38900,000000111111100000000000000000000000000000000000000000000000000000000000000000011111110000000000000000000000111111110000000000001111110000000000000111111100000000000000,1,0,0,7
1129,2,TypeB,38900,000000111111100000000000000000000000000000000000000000000000000000000000000000011111110000000000000000000000111111110000000000001111110000000000000111111100000000000000,1,0,0,4
1130,3,TypeC,32100,000000000000000011111100000000000001111100000000000000000000000111110000000000000000000000000000000000000000000000000000000000001111110000000000000000000000011111000000,0,0,0,0
1131,4,TypeC,32100,000000000000000011111100000000000001111100000000000000000000000111110000000000000000000000000000000000000000000000000000000000001111110000000000000000000000011111000000,0,0,0,0
1132,0,TypeA,55800,000000000000000000000000000000111111111100000000000000000000000000000001111111110000000000000000011111111110000000000000000000001111111110000000000000000000001111111111,1,0,0,36
1133,1,TypeB,40500,011111111000000000000000001111110000000000000000000000000000000000000000011111110000000000000000000000000000000000000000000000000111111110000000000000000000000001111111,1,0,0,3
1134,2,TypeB,40500,011111111000000000000000001111110000000000000000000000000000000000000000011111110000000000000000000000000000000000000000000000000111111110000000000000000000000001111111,1,0,0,5
1135,3,TypeC,29300,000000000000000000000000001111110000000000000111110000000000000111110000000000000000011110000000000000000000000000000000000000001111110000000000000000000000000000000000,1,0,0,5
1136,4,TypeC,29300,000000000000000000000000001111110000000000000111110000000000000111110000000000000000011110000000000000000000000000000000000000001111110000000000000000000000000000000000,1,0,0,11
1137,0,TypeA,53200,000000000000000000000000000000111111111100000000000000011111111100000000000000011111111110000000000000000000000000000000000000011111111110000000000000000000001111111111,1,0,0,18
1138,1,TypeB,37100,000111111110000000000000000000000000000000000111110000000000000000000000000000011111110000000000000000000000111111110000000000000000000000000000000111111100000000000000,0,0,0,2
1139,2,TypeB,37100,000111111110000000000000000000000000000000000111110000000000000000000000000000011111110000000000000000000000111111110000000000000000000000000000000111111100000000000000,0,0,0,0
1140,3,TypeC,32400,000000000000011111100000000000111111000000000000000000011100000000000000000000000000000000000000000000000000000000000000000000000000111111000000000000000000111111000000,0,0,0,2
1141,4,TypeC,32400,000000000000011111100000000000111111000000000000000000011100000000000000000000000000000000000000000000000000000000000000000000000000111111000000000000000000111111000000,0,0,0,0
1142,0,TypeA,51700,000000000000000000000000000000111111111100000000000000011111111110000000000000011111111110000000000000000011111111110000000000001111111110000000000000000000000000000000,1,0,0,28
1143,1,TypeB,40400,000000000000000111111110000000000000000000000000000000000111111110000000000000011111110000000000000000000000011111110000000000000000000000000000000000111111110000000000,1,0,0,6
1144,2,TypeB,40400,000000000000000111111110000000000000000000000000000000000111111110000000000000011111110000000000000000000000011111110000000000000000000000000000000000111111110000000000,1,0,0,7
1145,3,TypeC,30800,000000000000000000000000000000000000000000000111110000000000000111110000000000000000011111100000000000000011111100000000000000000000011110000000000000000000000000000000,1,0,0,4
1146,4,TypeC,30800,000000000000000000000000000000000000000000000111110000000000000111110000000000000000011111100000000000000011111100000000000000000000011110000000000000000000000000000000,1,0,0,3
1147,0,TypeA,55200,000000000000000000000011111111100000000000000000011111111100000000000000000000011111111110000000000000011111111110000000000000000000000000000000000000111111111100000000,0,0,0,0
1148,1,TypeB,39100,000000111111110000000000000000000000000000000000011111111000000000000000011111110000000000000000000000000000011111110000000000000000000000000000000111111100000000000000,1,0,0,11
1149,2,TypeB,39100,000000111111110000000000000000000000000000000000011111111000000000000000011111110000000000000000000000000000011111110000000000000000000000000000000111111100000000000000,1,0,0,16
1150,3,TypeC,26500,011111100000000000000000001111100000000000000000000000000000000000000000000000000000011111100000000000000000000000000000111100000000000000000000000000111100000000000000,1,0,0,19
1151,4,TypeC,26500,011111100000000000000000001111100000000000000000000000000000000000000000000000000000011111100000000000000000000000000000111100000000000000000000000000111100000000000000,1,0,0,18
1152,0,TypeA,52300,000000000000000000000000000000111111111100000000000000000000000000000000000000011111111110000000000000011111111110000000000000011111111110000000000000011111111100000000,0,0,0,1
1153,1,TypeB,37100,000000000000000111111110000000000000000000000111110000000000000000000000000000011111110000000000000000000000111111110000000000000000000000000000000111111100000000000000,1,0,0,17
1154,2,TypeB,37100,000000000000000111111110000000000000000000000111110000000000000000000000000000011111110000000000000000000000111111110000000000000000000000000000000111111100000000000000,1,0,0,17
1155,3,TypeC,29900,000000000000111110000000000000111110000000000111110000000000000000000000000000000000000000000000000001111110000000000000000000000000011111000000000000000000000000000000,1,0,0,0
1156,4,TypeC,29900,000000000000111110000000000000111110000000000111110000000000000000000000000000000000000000000000000001111110000000000000000000000000011111000000000000000000000000000000,1,0,0,0
1157,0,TypeA,52800,000000000000011111111110000000000000000000000000011111111100000000000000000000000000000000000000000000011111111110000000000000011111111110000000000000000111111111000000,0,0,0,0
1158,1,TypeB,41200,000000111111110000000000000000000000000000000000000000001111111100000000000000000000000000000000000000011111110000000000000000011111110000000000000111111100000000000000,1,1,1,14
1159,2,TypeB,41200,000000111111110000000000000000000000000000000000000000001111111100000000000000000000000000000000000000011111110000000000000000011111110000000000000111111100000000000000,1,0,0,20
1160,3,TypeC,28800,000000000000111110000000000000000000000000000000000000000000000000000000000000000000011100000000000001111110000000000000000000001111110000000000000000111100000000000000,0,0,0,0
1161,4,TypeC,28800,000000000000111110000000000000000000000000000000000000000000000000000000000000000000011100000000000001111110000000000000000000001111110000000000000000111100000000000000,0,0,0,0
1162,0,TypeA,51700,000000000000000000000000000000111111111100000000000000001111111111000000000000011111111110000000000000011111111110000000000000001111111110000000000000000000000000000000,1,0,0,31
1163,1,TypeB,43800,000000000000000111111110000000000000000000000000000000001111111100000000011111110000000000000000000000000000000000000000000000000111111110000000000000111111110000000000,1,0,0,10
1164,2,TypeB,43800,000000000000000111111110000000000000000000000000000000001111111100000000011111110000000000000000000000000000000000000000000000000111111110000000000000111111110000000000,1,0,0,15
1165,3,TypeC,24500,000000000000111110000000000000000000000000000000000000011100000000000001110000000000011110000000000000000000000000000000000000000000111110000000000000000000000000000000,1,0,0,11
1166,4,TypeC,24500,000000000000111110000000000000000000000000000000000000011100000000000001110000000000011110000000000000000000000000000000000000000000111110000000000000000000000000000000,1,0,0,6
1167,0,TypeA,55400,000000000000011111111110000000000000000000000000011111111100000000000000000000011111111110000000000000000000000000011111111100000000000000000000000000000000000111111111,0,0,0,0
1168,1,TypeB,41400,000000111111110000000000000000000000000000000000000000001111111100000000000000011111110000000000011111111000000000000000000000000000000000000000000111111110000000000000,1,0,0,15
1169,2,TypeB,41400,000000111111110000000000000000000000000000000000000000001111111100000000000000011111110000000000011111111000000000000000000000000000000000000000000111111110000000000000,1,0,0,21
1170,3,TypeC,31200,011111100000000000000000000000000001111100000000000000000000000111110000000000000000000000000000000000000000000000000000000000000000111111000000000000111110000000000000,0,0,0,0
1171,4,TypeC,31200,011111100000000000000000000000000001111100000000000000000000000111110000000000000000000000000000000000000000000000000000000000000000111111000000000000111110000000000000,0,0,0,0
